name,slug,description,category_name,order,
PySpark,pyspark,"PySpark Role: Core Library (Big Data Processing). Use Cases: The Python API for Apache Spark. Used for distributed data processing on large datasets that don't fit into the memory of a single machine. Allows running Pandas-like operations, SQL queries, and even distributed machine learning (via Spark MLlib) across a cluster of computers. Essential for working with ""big data"".",,31,
Python,python,"Python: Role: Primary Core Language. Use Cases: The dominant programming language for data science, machine learning, and AI due to its readability, extensive libraries (NumPy, Pandas, Scikit-learn, TensorFlow, PyTorch, etc.), large community, and versatility. Used for everything from data cleaning and analysis to model building, training, evaluation, and deployment.",Programming Languages,32,A popular programming language used in data science
PyTorch,pytorch,"PyTorch Role: Core Library (Deep Learning). Use Cases: A major open-source deep learning framework developed by Meta/Facebook. Known for its flexibility (dynamic computation graphs), Pythonic feel, strong GPU acceleration, and popularity in the research community. Used for building and training all types of neural networks, especially complex or custom architectures.",Machine Learning,33,"Another major open-source deep learning framework known for its flexibility, Pythonic feel, and strong community support, especially in research."
R Language,r-language,"R Language Role: Core Language (Statistics/Data Analysis). Use Cases: A language and environment specifically designed for statistical computing and graphics. Very strong in statistical modeling, data visualization (ggplot2), and specific statistical analyses. Widely used by statisticians and data analysts, especially in academia and certain industries (e.g., bioinformatics, finance). Less common than Python for building production ML systems but excellent for analysis and visualization.",Programming Languages,34,
Requests,requests,"Requests Role: Supporting Library (HTTP Requests). Use Cases: The standard Python library for making HTTP requests (GET, POST, etc.). Used frequently in data acquisition to download files, interact with web APIs to fetch data, or send data to ML model APIs for predictions.",,35,
Ruby,ruby,"Ruby Role: Rare (Web Development Integration). Use Cases: Primarily known for the Ruby on Rails web framework. Like PHP or Java, it's not typically used for core ML/AI/DS development but might be encountered when integrating ML models into existing Rails applications.",Programming Languages,36,
Scikit-learn,scikit-learn,"Scikit-learn (sklearn) Role: Core Library (Machine Learning). Use Cases: The fundamental library for traditional (non-deep learning) machine learning algorithms in Python. Provides efficient implementations of classification, regression, clustering, dimensionality reduction (PCA, NMF), model selection (cross-validation, grid search), and preprocessing (scaling, encoding). Essential for most ML workflows.",Data Analysis,37,"The go-to library for traditional machine learning algorithms. It offers efficient tools for data preprocessing, feature extraction, classification, regression, clustering, dimensionality reduction, model selection, and evaluation."
SciPy,scipy,"SciPy Role: Core Library (Scientific Computing). Use Cases: Builds upon NumPy to provide a large collection of algorithms fundamental to scientific and technical computing. Includes modules for optimization, linear algebra (more advanced than NumPy's basic functions), integration, interpolation, signal and image processing, statistics, and more. Often used alongside NumPy and Scikit-learn.",Data Analysis,38,"Builds on NumPy and provides a large collection of algorithms and functions for scientific and technical computing, including optimization, integration, interpolation, eigenvalue problems, signal processing, and more."
Seaborn,seaborn,Seaborn Role: Core Library (Data Visualization).,Data Science,39,"Built on Matplotlib, Seaborn provides a higher-level interface for drawing attractive and informative statistical graphics. It simplifies creating complex visualizations like heatmaps, violin plots, pair plots, and integrates well with Pandas DataFrames"
Sklearn,sklearn,"Use Cases: Built on top of Matplotlib, Seaborn provides a higher-level interface for creating attractive and informative statistical graphics. It excels at visualizing distributions, relationships between variables (pair plots, heatmaps), and categorical data. Integrates seamlessly with Pandas DataFrames.",Scikit-learn:,40,
SpaCy,spacy,"SpaCy Role: Core Library (NLP - Production Focused). Use Cases: An open-source library designed for production-ready Natural Language Processing. Known for its speed, efficiency, and excellent pre-trained models for tasks like named entity recognition (NER), part-of-speech tagging, dependency parsing, text classification, and more. Often seen as a more modern alternative to NLTK for many common NLP tasks, especially when performance is key.",,41,
SQL,sql,"SQL (Structured Query Language) Role: Core Language (Database Interaction). Use Cases: The standard language for managing and querying relational databases (like PostgreSQL, MySQL, SQLite). Essential for data scientists/analysts/engineers to extract, filter, aggregate, and join data stored in databases before analysis or model training.",Web Development,42,
Statsmodels,statsmodels,"Statsmodels Role: Core Library (Statistical Modeling). Use Cases: A Python library focused on rigorous statistical modeling, estimation, and testing. Provides more extensive statistical models (e.g., GLM, ANOVA, time series models like ARIMA/SARIMA) and detailed statistical output (p-values, confidence intervals, diagnostics) than Scikit-learn. Often used for statistical inference and econometric analysis.",,43,
Tableu,tableu,"Tableau (or Power BI, Looker) Role: Supporting Tool (Business Intelligence/Visualization). Use Cases: Business Intelligence (BI) tools primarily used for creating interactive dashboards and visualizations for business users. Data scientists/analysts often use them to present findings or build self-service analytics tools, connecting to databases or prepared datasets. They offer a drag-and-drop interface, requiring less coding than Matplotlib/Plotly but potentially less customization.",,44,
TensorFlow,tensorflow,"TensorFlow Role: Core Library (Deep Learning/Numerical Computation). Use Cases: A powerful open-source library developed by Google for large-scale numerical computation and machine learning, especially deep learning. Provides infrastructure for building, training, and deploying complex models (often via the Keras API). Offers strong support for distributed training and deployment across various platforms (servers, mobile, web via TensorFlow.js).",Machine Learning,45,"TensorFlow is a powerful open-source library developed by Google for numerical computation and large-scale machine learning, particularly deep learning."
Transformers,transformers,"Transformers (Architecture) Role: Core Concept/Architecture (AI/Deep Learning). Use Cases: A type of neural network architecture, introduced in the paper ""Attention Is All You Need,"" that relies heavily on self-attention mechanisms. It has revolutionized NLP (forming the basis for models like BERT, GPT, T5) and is increasingly applied successfully to computer vision, audio, and other domains. Understanding the Transformer architecture is key to working with state-of-the-art models. (See also: Hugging Face Transformers library).",,46,
Wireshark,wireshark,"Wireshark Role: Irrelevant (Network Analysis). Use Cases: A network protocol analyzer used for network troubleshooting, analysis, software and communications protocol development. It has no direct application in the typical ML/AI/DS workflow.",Cyber Security,47,
